idpackets_db,STX,length,"Sequence Number",Direct,CMD,"Sensor ID","Sensor Number",Data,Checksum,ETX,Time
11669,33,0074,c5,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32393a30365d20526563762042696f20446174612050445b315d204143545b355d2042525b32335d2048525b36375d20585b3235355d20595b375d204261745b3130305d20436f6d5b305d20525353495b2d31305d,b1,55,"12/03/2022, 19:26:19.380229"
11670,33,002e,c6,91,36,23,01,ffff0c38003800430056005600560056004300430043004300430000000000061d066400f6ff,c5,55,"12/03/2022, 19:26:19.574102"
11671,33,0052,c7,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32393a30375d2053656e736f722044617461205265706f72742049445b307832335d204e756d5b3078315d204757204261745b3130305d,80,55,"12/03/2022, 19:26:19.768235"
11672,33,002e,c8,91,36,24,01,ffff0c17001300100017001100120018001700170015001200170000000000061d066400f6ff,66,55,"12/03/2022, 19:26:19.961373"
11673,33,0052,c9,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32393a30375d2053656e736f722044617461205265706f72742049445b307832345d204e756d5b3078315d204757204261745b3130305d,83,55,"12/03/2022, 19:26:20.156743"
11674,33,001d,ca,91,36,25,01,ffff0c4e00000001ff0700000000061d066400f6ff,b5,55,"12/03/2022, 19:26:20.350264"
11675,33,0052,cb,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32393a30375d2053656e736f722044617461205265706f72742049445b307832355d204e756d5b3078315d204757204261745b3130305d,86,55,"12/03/2022, 19:26:24.216998"
11676,33,0072,cc,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32393a31315d20526563762042696f20446174612050445b315d204143545b385d2042525b32335d2048525b38365d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,49,55,"12/03/2022, 19:26:24.410249"
11677,33,0074,cd,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32393a31365d20526563762042696f20446174612050445b315d204143545b375d2042525b32345d2048525b37325d20585b3235355d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,b8,55,"12/03/2022, 19:26:29.431253"
11678,33,0072,ce,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32393a32315d20526563762042696f20446174612050445b315d204143545b355d2042525b32335d2048525b37375d20585b305d20595b375d204261745b3130305d20436f6d5b305d20525353495b2d31305d,4a,55,"12/03/2022, 19:26:34.460369"
11679,33,0072,cf,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32393a32365d20526563762042696f20446174612050445b315d204143545b385d2042525b32335d2048525b37375d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,52,55,"12/03/2022, 19:26:39.382319"
